序号,CAS号,UN号,中文名称,别名,"毒性a,b",燃烧爆炸特性,加压气体,其他危害c,介质与金属材料相容性提示d,反应和稳定性提示,危害提示,GHS健康和环境危害类别b,附加信息
345,88-73-3,1578,2-氯硝基苯,邻氯硝基苯；1-氯-2-硝基,III,易爆介质,-,-,-,与强氧化剂、强碱、强还原剂等禁配物发生反应。禁配物：强氧化剂、强碱、强还原剂。危险的分解产物：氮氧化物、氯化氢,吞咽会中毒，皮肤接触会中毒，吸入会中毒,急性毒性-经口，类别3急性毒性-经皮，类别3急性毒性-吸入，类别3严重眼损伤/眼刺激，类别2B特异性靶器官毒性-反复接触，类别1危害水生环境-急性危害，类别3危害水生环境-长期危害，类别3,-
346,100-00-5,1578,4-氯硝基苯,对氯硝基苯；1-氯-4-硝基苯,III*,-,-,-,-,与强氧化剂、强碱、强还原剂等禁配物发生反应。易升华，具有爆炸性。禁配物：强氧化剂、强碱、强还原剂。危险的分解产物：氮氧化物、氯化氢,吞咽会中毒，皮肤接触会中毒，吸入会中毒,急性毒性-经口，类别3*急性毒性-经皮，类别3*急性毒性-吸入，类别3*生殖细胞致突变性，类别2特异性靶器官毒性-反复接触，类别2*危害水生环境-急性危害，类别2危害水生环境-长期危害，类别2,-
347,107-07-3,1135,2-氯乙醇,乙撑氯醇；氯乙醇,I,易爆介质,-,-,氯化物应力腐蚀开裂,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。遇水或水蒸气反应放热并产生有毒的腐蚀性气体。禁配物:酸类、碱类、强氧化剂、强还原剂。危险的分解产物:氯化氢","吞咽致命,皮肤接触会致命,吸入致命","急性毒性-经口,类别2*急性毒性-经皮,类别1急性毒性-吸入,类别2*危害水生环境-急性危害,类别2",-
348,107-14-2,2668,氯乙腈,氰化氯甲烷；氯甲基氰,III *,易爆介质,-,-,-,与强氧化剂等禁配物发生反应。禁配物:强氧化剂、碱。危险的分解产物:光气、氯化氢,"吞咽会中毒,皮肤接触会中毒,吸入会中毒","急性毒性-经口,类别3*急性毒性-经皮,类别3*急性毒性-吸入,类别3*危害水生环境-急性危害,类别2危害水生环境-长期危害,类别2",-
349,79-11-8,1750,氯乙酸,氯醋酸；一氯醋酸,II,易爆介质,-,-,低分子有机酸腐蚀、氯化物应力腐蚀开裂,与强氧化剂等禁配物发生反应。禁配物:强氧化剂、强还原剂、强碱。危险的分解产物:光气、氯化氢,"吞咽会中毒,皮肤接触会中毒,吸入致命,可引起皮肤腐蚀","急性毒性-经口,类别3*急性毒性-经皮,类别3*急性毒性-吸入,类别2皮肤腐蚀/刺激,类别1B严重眼损伤/眼刺激,类别1特异性靶器官毒性-一次接触,类别3(呼吸道刺激)危害水生环境-急性危害,类别1",-
350,96-34-4,2295,氯乙酸甲酯,氯醋酸甲酯,III *,易爆介质；易燃液体，类别3,-,-,氯化物应力腐蚀开裂,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：酸类、碱类、强氧化剂、强还原剂。危险的分解产物：氯化氢,易燃液体，吞咽会中毒，吸入会中毒，造成严重眼损伤,急性毒性-经口，类别3*急性毒性-吸入，类别3*皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别1特异性靶器官毒性-一次接触，类别3(呼吸道刺激)危害水生环境-急性危害，类别2,-
351,75-00-3,1037,氯乙烷,乙基氯,-,易爆介质；易燃气体，类别1,加压气体,-,氯化物应力腐蚀开裂,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、钾、钠及其合金。危险的分解产物：氯化氢,极易燃气体，内装加压气体：遇热可能爆炸,危害水生环境-急性危害，类别3危害水生环境-长期危害，类别3,-
352,75-01-4,1086,氯乙烯[稳定的],乙烯基氯,-(II-密封性)/I,易爆介质；易燃气体，类别1；化学不稳定性气体，类别B,加压气体,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。燃烧或无抑制剂时可发生剧烈聚合。禁配物：强氧化剂。危险的分解产物：氯化氢,极易燃气体，(不稳定)，内装加压气体：遇热可能爆炸，可能致癌,致癌性，类别1A,G1
353,108-31-6,2215,马来酸酐,马来酐;失水苹果酸酐;顺丁烯二酸酐,IV,易爆介质,-,-,-,与强氧化剂、强还原剂、强酸、强碱、碱金属、水等禁配物发生反应。禁配物:强氧化剂、强还原剂、强酸、强碱、碱金属、水。危险的分解产物:无资料,"可引起皮肤腐蚀,吸入可能导致过敏,可能引起皮肤过敏","急性毒性-经口,类别4皮肤腐蚀/刺激,类别1B严重眼损伤/眼刺激,类别1呼吸道致敏物,类别1皮肤致敏物,类别1危害水生环境-急性危害,类别3",-
354,110-91-8,2054,吗啉,"1,4-氧氮杂环己烷",IV/III,"易爆介质;易燃液体,类别3",-,-,-,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂、酰基氯、酸类、酸酐。危险的分解产物:无资料","易燃液体,可引起皮肤腐蚀","急性毒性-经口,类别4急性毒性-经皮,类别4急性毒性-吸入,类别4皮肤腐蚀/刺激,类别1B严重眼损伤/眼刺激,类别1危害水生环境-急性危害,类别3",-
355,91-20-3,1334,萘,粗萘;精萘;萘饼,IV/III,易爆介质,-,-,-,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂(如铬酸酐、氯酸盐和高锰酸钾等)。危险的分解产物:无资料",-,"急性毒性-经口,类别4致癌性,类别2危害水生环境-急性危害,类别1危害水生环境-长期危害,类别1",-
356,134-32-7,2077,1-萘胺,α-萘胺；1-氨基萘,III,-,-,-,-,与强氧化剂等禁配物发生反应。禁配物：强氧化剂、酸类、酸酐。危险的分解产物：氨,皮肤接触会中毒,"急性毒性-经皮,类别3急性毒性-经口,类别4危害水生环境-急性危害,类别2危害水生环境-长期危害,类别2",-
357,90-15-3,2811,1-萘酚,-,IV,易爆介质,-,-,-,-,"皮肤接触会中毒,造成严重眼损伤","急性毒性-经口,类别4急性经毒性-经皮,类别4皮肤腐蚀/刺激,类别2严重眼损伤/眼刺激,类别1特异性靶器官毒性-一次接触,类别2(肾脏)特异性靶器官毒性-一次接触,类别3(呼吸道刺激)危害水生环境-急性危害,类别1",-
358,77-92-9,-,柠檬酸,"2-羟基丙烷-12,3-三羧酸",IV,易爆介质,-,-,低分子有机酸腐蚀,-,-,"急性毒性-经口,类别5皮肤腐蚀/刺激,类别3严重眼损伤/眼刺激,类别2A",-
359,123-42-2,1148,4-羟基-4-甲基-2-戊酮,双丙酮醇,-,易爆介质；易燃液体，类别2,-,-,-,与强氧化剂、强碱等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强还原剂、强碱。危险的分解产物：无资料,高度易燃液体,严重眼损伤/眼刺激，类别2,-
360,107-96-0,2922,β-巯基丙酸,-,III,易爆介质,-,金属腐蚀性介质，类别1,低分子有机酸腐蚀,-,吞咽会中毒，造成严重皮肤灼伤和眼损伤,急性毒性-经口，类别3急性毒性-吸入，类别4皮肤腐蚀/刺激，类别1B严重眼损伤/眼刺激，类别1,-
361,547-64-8,3272,2-羟基丙酸甲酯,乳酸甲醋,-,易爆介质；易燃液体，类别3,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强酸、强碱。危险的分解产物：无资料,易燃液体,严重眼损伤/眼刺激，类别2特异性靶器官毒性-一次接触，类别3（呼吸道刺激）,-
362,97-64-3,1192,2-羟基丙酸乙酯,乳酸乙酯,-,易爆介质；易燃液体，类别3,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、酸类、碱类。危险的分解产物：无资料,易燃液体，造成严重眼损伤,严重眼损伤/眼刺激，类别1特异性靶器官毒性-一次接触，类别3（呼吸道刺激）,-
363,1333-74-0,1049(压缩)；1699(冷冻液化),氢,氢气,-,易爆介质；易燃气体，类别1,加压气体,-,氢脆、高温氢腐蚀,与强氧化剂、卤素等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、卤素。危险的分解产物：无意义,极易燃液体，内装加压气体：遇热可能爆炸，强渗透性；单纯性窒息,-,-
364,460-19-5,1026,氰,氧气,II,易爆介质；易燃气体，类别1,加压气体,-,氰氢酸腐蚀、氢脆,与强氧化剂、强水、酸类等禁配物发生反应。遇水或水蒸气、酸或酸气产生剧毒的烟雾。禁配物：强氧化剂、水、酸类。危险的分解产物：氰化氢、氮氧化物,极易燃气体，内装加压气体：遇热可能爆炸，吸入致命,急性毒性-吸入，类别2危害水生环境-急性危害，类别1危害水生环境-长期危害，类别1,-
365,74-90-8,1051,氰化氢,无水氢氰酸,II *,易爆介质；易燃液体，类别1,-,-,渗氮（含量高，高温）,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。长期放置则因水分而聚合，聚合物本身有自催化作用，可引起爆炸。禁配物：强氧化剂、酸类、碱类。危险的分解产物：氮氧化物,极易燃液体，吸入致命,急性毒性-吸入，类别2*危害水生环境-急性危害，类别1危害水生环境-长期危害，类别1,-
366,52315-07-8,3352,"(RS)-α-氰基3-苯氧基苄基(SR)-3-(2,2-二氯乙烯基)-2,2-二甲基环丙烷羧酸酯",氯氰菊酯,III,-,-,-,-,与强氧化剂、强碱等禁配物发生反应。禁配物:强氧化剂、强碱。危险的分解产物:氮氧化物、氯化物、氰化物,-,"急性毒性-经口,类别3急性毒性-吸入,类别4特异性靶器官毒性-一次接触,类别3(呼吸道刺激)危害水生环境-急性危害,类别1危害水生环境-长期危害,类别1",-
367,51630-58-1,2811,氰戊菊酯,-,III,-,-,-,-,-,吞咽会中毒,"急性毒性-经口,类别3皮肤腐蚀/刺激,类别2严重眼损伤/眼刺激,类别2特异性靶器官毒性-一次接触,类别3",-
368,103-24-2,-,壬二酸二辛酯,壬二酸二-2-乙基己酯,-,易爆介质,-,-,-,-,-,"皮肤腐蚀/刺激,类别3",-
369,111-84-2,1920,壬烷,正壬烷,IV,易爆介质；易燃液体，类别3,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强酸、强碱、卤素。危险的分解产物：无资料,易燃液体和蒸气，吞咽致命,急性毒性-吸入，类别4皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别2A特异性靶器官毒性-一次接触，类别3吸入危害，类别1（麻醉效应）危害水生环境-急性危害，类别1危害水生环境-长期危害，类别1,-
370,124-11-8,-,1-壬烯,香茅烯,-,易爆介质；易燃液体，类别3,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、酸类、卤代烃、卤素等。危险的分解产物：无资料,易燃液体，禁止催吐,皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别2特异性靶器官毒性-一次接触，类别3（麻醉效应）吸入危害，类别1,-
371,110-02-1,2414,噻吩,硫杂茂；硫代呋喃,IV,易爆介质；易燃液体，类别2,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。与浓硝酸反应能起火或爆炸。禁配物：强氧化剂。危险的分解产物：硫化氢、氧化硫,高度易燃液体,急性毒性-经口，类别4皮肤腐蚀/刺激，类别2特异性靶器官毒性-反复接触，类别2危害水生环境-急性危害，类别3危害水生环境-长期危害，类别3,-
372,139-45-7,-,三丙酸甘油酯,甘油三丙酸酯,无资料,易爆介质,无资料,无资料,-,无资料,无资料,无资料,-
373,7790-91-2,1749,三氟化氯,-,II,-,加压气体,氧化性气体，类别1,氢氟酸腐蚀、氢脆、氢氟酸应力腐蚀开裂,遇有机物，立即自行燃烧爆炸。与水猛烈反应，放出氟化氢和氯气。能与砂子以及其他含硅物品（如玻璃、石棉等）强烈反应，也能与金属和非金属元素激烈反应。禁配物：强氧化剂、易燃或可燃物。危险的分解产物：氟化氢、氯化氢,可引起燃烧或加剧燃烧，氧化剂，内装加压气体：遇热可能爆炸，吸入致命，可引起皮肤腐蚀,急性毒性-吸入，类别2皮肤腐蚀/刺激，类别1严重眼损伤/眼刺激，类别1特异性靶器官毒性-一次接触，类别1特异性靶器官毒性-反复接触，类别1,-
374,79-38-9,1082,三氟氯乙烯[稳定的],R1113;氯三氟乙烯,III,"易爆介质;易燃气体,类别1",加压气体,-,-,-,"极易燃气体,内装加压气体:遇热可能爆炸,吸入会中毒","急性毒性-吸入,类别3特异性靶器官毒性-一次接触,类别2特异性靶器官毒性-反复接触,类别2",-
375,75-89-8,1986,"2,2,2-三氟乙醇",-,III,"易爆介质;易燃液体,类别3",-,-,低分子有机酸腐蚀、氟化物应力腐蚀开裂,与强氧化剂等禁配物发生反应。禁配物:强氧化剂、强碱、钾、钠。危险的分解产物:氟化氢,"易燃液体,吞咽会中毒,吸入会中毒,造成严重眼损伤","急性毒性-经口,类别3急性毒性-吸入,类别3严重眼损伤/眼刺激,类别1生殖毒性,类别1B特异性靶器官毒性-反复接触,类别2",-
376,420-46-2,2035,"1,1,1-三氟乙烷",制冷剂R143;氟利昂-143a,-,"易爆介质;易燃气体,类别1",加压气体,-,-,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂。危险的分解产物:氟化氢","极易燃气体,内装加压气体:遇热可能爆炸",-,-
377,112-27-6,-,三甘醇,三乙二醇,-,易爆介质,-,-,-,-,-,"皮肤腐蚀/刺激,类别3严重眼损伤/眼刺激,类别2B",-
378,41814-78-2,-,三环唑,-,IV,-,-,-,-,-,-,"急性毒性-经口,类别4",-
379,75-50-3,1083,三甲胺[无水],-,IV,易爆介质；易燃气体，类别1,加压气体,-,胺应力腐蚀开裂,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强酸、卤素。危险的分解产物：无资料,极易燃气体，内装加压气体：遇热可能爆炸，造成严重眼损伤,急性毒性-吸入，类别4皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别1特异性靶器官毒性-一次接触，类别3（呼吸道刺激）,-
380,75-50-3,1297,三甲胺溶液,-,-,易燃液体，类别3*,-,-,胺应力腐蚀开裂、碱腐蚀、碱脆,-,易燃液体，可引起皮肤腐蚀,皮肤腐蚀/刺激，类别1B严重眼损伤/眼刺激，类别1特异性靶器官毒性-一次接触，类别3（呼吸道刺激）,-
381,95-63-6,3295,"1,2,4-三甲基苯",假枯烯,IV,易爆介质；易燃液体，类别3,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、酸类、卤素等。危险的分解产物：无资料,易燃液体,急性毒性-吸入，类别4皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别2特异性靶器官毒性-一次接触，类别3（呼吸道刺激）危害水生环境-急性危害，类别2危害水生环境-长期危害，类别2,-
382,3522-94-9,1920,"2,2,5-三甲基己烷",-,-,易爆介质；易燃液体，类别2,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强酸、强碱、卤素。危险的分解产物：无资料,高度易燃液体,危害水生环境-急性危害，类别1危害水生环境-长期危害，类别1,-
383,75-77-4,1298,三甲基氯硅烷,氯化三甲基硅烷,III,易爆介质；易燃液体，类别2,-,-,盐酸腐蚀,与强氧化剂、水等禁配物接触，有发生火灾和爆炸的危险。禁配物：强酸、强碱、水。危险的分解产物：氯化氢,高度易燃液体，吞咽会中毒，吸入会中毒，可引起皮肤腐蚀,急性毒性-经口，类别3急性毒性-吸入，类别3急性毒性-经皮，类别4皮肤腐蚀/刺激，类别1严重眼损伤/眼刺激，类别1特异性靶器官毒性-一次接触，类别2,-
384,564-02-3,1262,"2,2,3-三甲基戊烷",-,-,易爆介质；易燃液体，类别2,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强酸、强碱、卤素。危险的分解产物：无资料,高度易燃液体，禁止催吐,皮肤腐蚀/刺激，类别2特异性靶器官毒性-一次接触，类别3(麻醉效应)吸入危害，类别1危害水生环境-急性危害，类别1危害水生环境-长期危害，类别1,-
385,540-84-1,1262,"2,2,4-三甲基戊烷",异辛烷,-,易爆介质；易燃液体，类别2,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强酸、强碱、卤素。危险的分解产物：无资料,高度易燃液体，禁止催吐,皮肤腐蚀/刺激，类别2特异性靶器官毒性-一次接触，类别3（麻醉效应）吸入危害，类别1危害水生环境-急性危害，类别1危害水生环境-长期危害，类别1,-
